timestamp,reference_valid,full_valid,drop_valid,klt_valid,common_valid,segment_id
1725640042.3289287,1,0,0,0,0,-1
1725640042.4289286,1,0,0,0,0,-1
1725640042.5289288,1,0,0,0,0,-1
1725640042.6289287,1,0,0,0,0,-1
1725640042.7289286,1,0,0,0,0,-1
1725640042.8289287,1,0,0,0,0,-1
1725640042.9289286,1,0,0,0,0,-1
1725640043.0289288,1,0,0,0,0,-1
1725640043.1289287,1,0,0,0,0,-1
1725640043.2289286,1,0,0,0,0,-1
1725640043.3289287,1,0,0,0,0,-1
1725640043.4289286,1,0,0,0,0,-1
1725640043.5289288,1,0,0,0,0,-1
1725640043.6289287,1,0,0,0,0,-1
1725640043.7289286,1,0,0,0,0,-1
1725640043.8289287,1,0,0,0,0,-1
1725640043.9289286,1,0,0,0,0,-1
1725640044.0289288,1,0,0,0,0,-1
1725640044.1289287,1,0,0,0,0,-1
1725640044.2289286,1,0,0,0,0,-1
1725640044.3289287,1,0,0,0,0,-1
1725640044.4289286,1,0,0,0,0,-1
1725640044.5289288,1,0,0,0,0,-1
1725640044.6289287,1,0,0,0,0,-1
1725640044.7289286,1,0,0,0,0,-1
1725640044.8289287,1,0,0,0,0,-1
1725640044.9289286,1,0,0,0,0,-1
1725640045.0289288,1,0,0,0,0,-1
1725640045.1289287,1,0,0,0,0,-1
1725640045.2289286,1,0,0,0,0,-1
1725640045.3289287,1,0,0,0,0,-1
1725640045.4289286,1,0,0,0,0,-1
1725640045.5289288,1,0,0,0,0,-1
1725640045.6289287,1,0,0,0,0,-1
1725640045.7289286,1,0,0,0,0,-1
1725640045.8289287,1,0,0,0,0,-1
1725640045.9289286,1,0,0,0,0,-1
1725640046.0289288,1,0,0,0,0,-1
1725640046.1289287,1,0,0,0,0,-1
1725640046.2289286,1,0,0,0,0,-1
1725640046.3289287,1,0,0,0,0,-1
1725640046.4289286,1,0,0,0,0,-1
1725640046.5289288,1,0,0,0,0,-1
1725640046.6289287,1,0,0,0,0,-1
1725640046.7289286,1,0,0,0,0,-1
1725640046.8289287,1,0,0,0,0,-1
1725640046.9289286,1,0,0,0,0,-1
1725640047.0289288,1,0,0,0,0,-1
1725640047.1289287,1,0,0,0,0,-1
1725640047.2289286,1,0,0,0,0,-1
1725640047.3289287,1,0,0,0,0,-1
1725640047.4289286,1,0,0,0,0,-1
1725640047.5289288,1,0,0,0,0,-1
1725640047.6289287,1,0,0,0,0,-1
1725640047.7289286,1,0,0,0,0,-1
1725640047.8289287,1,0,0,0,0,-1
1725640047.9289286,1,0,0,0,0,-1
1725640048.0289288,1,0,0,0,0,-1
1725640048.1289287,1,0,0,0,0,-1
1725640048.2289286,1,0,0,0,0,-1
1725640048.3289287,1,0,0,0,0,-1
1725640048.4289286,1,0,0,0,0,-1
1725640048.5289288,1,0,0,0,0,-1
1725640048.6289287,1,0,0,0,0,-1
1725640048.7289286,1,0,0,0,0,-1
1725640048.8289287,1,0,0,0,0,-1
1725640048.9289286,1,0,0,0,0,-1
1725640049.0289288,1,0,0,0,0,-1
1725640049.1289287,1,0,0,0,0,-1
1725640049.2289286,1,0,0,0,0,-1
1725640049.3289287,1,0,0,0,0,-1
1725640049.4289286,1,0,0,0,0,-1
1725640049.5289288,1,0,0,0,0,-1
1725640049.6289287,1,0,0,0,0,-1
1725640049.7289286,1,0,0,0,0,-1
1725640049.8289287,1,0,0,0,0,-1
1725640049.9289286,1,0,0,0,0,-1
1725640050.0289288,1,0,0,0,0,-1
1725640050.1289287,1,0,0,0,0,-1
1725640050.2289286,1,0,0,0,0,-1
